filename,source,row,col,width,height,aspect
block01_r1c1.png,Block1.png,1,1,105,169,1.61
block01_r1c2.png,Block1.png,1,2,106,165,1.557
block01_r1c3.png,Block1.png,1,3,106,168,1.585
block01_r1c4.png,Block1.png,1,4,106,165,1.557
block01_r1c5.png,Block1.png,1,5,106,166,1.566
block01_r1c6.png,Block1.png,1,6,106,168,1.585
block01_r2c1.png,Block1.png,2,1,106,157,1.481
block01_r2c2.png,Block1.png,2,2,105,158,1.505
block01_r2c3.png,Block1.png,2,3,106,156,1.472
block01_r2c4.png,Block1.png,2,4,106,156,1.472
block01_r2c5.png,Block1.png,2,5,106,153,1.443
block01_r2c6.png,Block1.png,2,6,105,158,1.505
block01_r3c1.png,Block1.png,3,1,106,156,1.472
block01_r3c2.png,Block1.png,3,2,106,154,1.453
block01_r3c3.png,Block1.png,3,3,102,157,1.539
block01_r3c4.png,Block1.png,3,4,106,156,1.472
block01_r3c5.png,Block1.png,3,5,106,156,1.472
block01_r3c6.png,Block1.png,3,6,103,158,1.534
block01_r4c1.png,Block1.png,4,1,105,154,1.467
block01_r4c2.png,Block1.png,4,2,106,146,1.377
block01_r4c3.png,Block1.png,4,3,106,106,1.0
block01_r4c4.png,Block1.png,4,4,106,157,1.481
block01_r4c5.png,Block1.png,4,5,105,158,1.505
block01_r4c6.png,Block1.png,4,6,105,158,1.505
block02_r1c1.png,Block2.png,1,1,106,148,1.396
block02_r1c2.png,Block2.png,1,2,106,166,1.566
block02_r1c3.png,Block2.png,1,3,105,165,1.571
block02_r1c4.png,Block2.png,1,4,106,166,1.566
block02_r1c5.png,Block2.png,1,5,105,167,1.59
block02_r1c6.png,Block2.png,1,6,106,130,1.226
block02_r2c1.png,Block2.png,2,1,105,155,1.476
block02_r2c2.png,Block2.png,2,2,106,155,1.462
block02_r2c3.png,Block2.png,2,3,106,158,1.491
block02_r2c4.png,Block2.png,2,4,106,158,1.491
block02_r2c5.png,Block2.png,2,5,106,155,1.462
block02_r2c6.png,Block2.png,2,6,106,155,1.462
block02_r3c1.png,Block2.png,3,1,101,158,1.564
block02_r3c2.png,Block2.png,3,2,106,156,1.472
block02_r3c3.png,Block2.png,3,3,106,155,1.462
block02_r3c4.png,Block2.png,3,4,99,158,1.596
block02_r3c5.png,Block2.png,3,5,106,122,1.151
block02_r3c6.png,Block2.png,3,6,105,158,1.505
block02_r4c1.png,Block2.png,4,1,101,157,1.554
block02_r4c2.png,Block2.png,4,2,106,106,1.0
block02_r4c3.png,Block2.png,4,3,106,157,1.481
block02_r4c4.png,Block2.png,4,4,106,154,1.453
block02_r4c5.png,Block2.png,4,5,106,157,1.481
block02_r4c6.png,Block2.png,4,6,106,155,1.462
block03_r1c1.png,Block3.png,1,1,106,156,1.472
block03_r1c2.png,Block3.png,1,2,106,156,1.472
block03_r1c3.png,Block3.png,1,3,106,147,1.387
block03_r1c4.png,Block3.png,1,4,106,122,1.151
block03_r1c5.png,Block3.png,1,5,105,158,1.505
block03_r1c6.png,Block3.png,1,6,106,157,1.481
block03_r2c1.png,Block3.png,2,1,106,156,1.472
block03_r2c2.png,Block3.png,2,2,106,157,1.481
block03_r2c3.png,Block3.png,2,3,106,155,1.462
block03_r2c4.png,Block3.png,2,4,105,158,1.505
block03_r2c5.png,Block3.png,2,5,97,158,1.629
block03_r2c6.png,Block3.png,2,6,106,156,1.472
block03_r3c1.png,Block3.png,3,1,105,158,1.505
block03_r3c2.png,Block3.png,3,2,106,157,1.481
block03_r3c3.png,Block3.png,3,3,106,156,1.472
block03_r3c4.png,Block3.png,3,4,101,158,1.564
block03_r3c5.png,Block3.png,3,5,105,158,1.505
block03_r3c6.png,Block3.png,3,6,106,155,1.462
block03_r4c1.png,Block3.png,4,1,106,156,1.472
block03_r4c2.png,Block3.png,4,2,105,156,1.486
block03_r4c3.png,Block3.png,4,3,106,156,1.472
block03_r4c4.png,Block3.png,4,4,105,156,1.486
block03_r4c5.png,Block3.png,4,5,105,156,1.486
block03_r4c6.png,Block3.png,4,6,106,156,1.472
block04_r1c1.png,Block4.png,1,1,106,167,1.575
block04_r1c2.png,Block4.png,1,2,105,168,1.6
block04_r1c3.png,Block4.png,1,3,101,158,1.564
block04_r1c4.png,Block4.png,1,4,106,116,1.094
block04_r1c5.png,Block4.png,1,5,106,154,1.453
block04_r1c6.png,Block4.png,1,6,106,156,1.472
block04_r2c1.png,Block4.png,2,1,106,155,1.462
block04_r2c2.png,Block4.png,2,2,106,156,1.472
block04_r2c3.png,Block4.png,2,3,103,158,1.534
