DELETE,NEEDS_BETTER_COVER,NEEDS_ISBN,type,business_genre,subject,era_subject,era_published,geography,TAGS,NOTES_MINE,book_id,title_short,title_full,author,author_lastname,isbn13,isbn10,asin,amazon_url,link_type,cover_file,cover_width,cover_height,cover_quality,cover_source,cover_source_url,cover_notes,my_rating,date_read,date_added,publisher,binding,pages,year_published,original_pub_year,id_confidence,id_notes,source_block,goodreads_title,goodreads_author
,,,non-fiction,,memoir;science,mid-20th-century,1980s,united-states,1980s;memoir;mid-20th-century;non-fiction;science;united-states,,feynman_surely-youre-joking-mr-feynman,"""Surely You're Joking, Mr. Feynman!""","""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,feynman,9780393355628,0393355624,,https://www.amazon.com/dp/0393355624?tag=redrock07-20,direct,feynman_surely-youre-joking-mr-feynman.png,332,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9780393355628-L.jpg?default=false,,5,10/2/2025,6/28/2025,W. W. Norton & Company,Paperback,400,2018,1985,high,,block02_r3c3.png,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman
,,,non-fiction,personal-effectiveness,psychology;philosophy,timeless,2010s,global,2010s;global;non-fiction;personal-effectiveness;philosophy;psychology;timeless,,peterson_12-rules-for-life,12 Rules for Life,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,peterson,9780345816023,0345816021,,https://www.amazon.com/dp/0345816021?tag=redrock07-20,direct,peterson_12-rules-for-life.png,331,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9780345816023-L.jpg?default=false,,4,1/30/2023,12/31/2023,Random House Canada,Hardcover,409,2018,2018,high,a sliver of the row above is clipped into the top of the source screenshot,block07_r1c6.png,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
,,,non-fiction,leadership,history;war,early-modern,2000s,united-states,2000s;early-modern;history;leadership;non-fiction;united-states;war,,mccullough_1776,1776,1776,David McCullough,mccullough,9780743226721,0743226720,,https://www.amazon.com/dp/0743226720?tag=redrock07-20,direct,mccullough_1776.png,318,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9780743226721-L.jpg?default=false,,0,,8/11/2018,Simon  Schuster,Paperback,386,2006,2005,high,,block01_r3c1.png,1776,David McCullough
,,,fiction,,politics;philosophy,timeless,1940s,britain,1940s;britain;fiction;philosophy;politics;timeless,,orwell_1984,1984,1984,George Orwell,orwell,9780452262935,0452262933,,https://www.amazon.com/dp/0452262933?tag=redrock07-20,direct,orwell_1984.png,327,500,good,search,https://covers.openlibrary.org/b/id/8745958-L.jpg,,5,,8/11/2018,New American Library,Mass Market Paperback,328,1950,1949,high,,block04_r4c4.png,1984,George Orwell
,,,non-fiction,strategy,history;technology;philosophy,contemporary,2010s,global,2010s;contemporary;global;history;non-fiction;philosophy;strategy;technology,,harari_21-lessons-for-the-21st-century,21 Lessons for the 21st Century,21 Lessons for the 21st Century,Yuval Noah Harari,harari,9780525512172,0525512179,,https://www.amazon.com/dp/0525512179?tag=redrock07-20,direct,harari_21-lessons-for-the-21st-century.png,318,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9780525512172-L.jpg?default=false,,2,10/28/2025,10/17/2025,Random House,Hardcover,372,2018,2018,high,,block02_r1c3.png,21 Lessons for the 21st Century,Yuval Noah Harari
,,,non-fiction,innovation,history;technology,multi-era,2020s,global,2020s;global;history;innovation;multi-era;non-fiction;technology,,standage_a-brief-history-of-motion,A Brief History of Motion,"A Brief History of Motion: From the Wheel, to the Car, to What Comes Next",Tom Standage,standage,9781635573619,1635573610,,https://www.amazon.com/dp/1635573610?tag=redrock07-20,direct,standage_a-brief-history-of-motion.png,329,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9781635573619-L.jpg?default=false,,5,8/12/2026,6/3/2026,Bloomsbury Publishing,Hardcover,272,2021,2021,high,,block03_r1c6.png,"A Brief History of Motion: From the Wheel, to the Car, to What Comes Next",Tom Standage
,,,non-fiction,,science;space,timeless,1980s,space,1980s;non-fiction;science;space;timeless,,hawking_a-brief-history-of-time,A Brief History of Time,A Brief History of Time,Stephen Hawking,hawking,9780553380163,0553380168,,https://www.amazon.com/dp/0553380168?tag=redrock07-20,direct,hawking_a-brief-history-of-time.png,328,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg?default=false,,4,7/29/2025,7/22/2025,Bantam Books,Paperback,226,1998,1988,high,,block02_r2c6.png,A Brief History of Time,Stephen W. Hawking
,,,non-fiction,economics,history;food,multi-era,2000s,global,2000s;economics;food;global;history;multi-era;non-fiction,,standage_a-history-of-the-world-in-6-glasses,A History of the World in 6 Glasses,A History of the World in 6 Glasses,Tom Standage,standage,9780802715524,0802715524,,https://www.amazon.com/dp/0802715524?tag=redrock07-20,direct,standage_a-history-of-the-world-in-6-glasses.png,333,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9780802715524-L.jpg?default=false,,5,11/13/2025,9/3/2025,Bloomsbury,Paperback,336,2006,2005,high,,block02_r2c2.png,A History of the World in 6 Glasses,Tom Standage
,,,non-fiction,,memoir,contemporary,2020s,east-asia,2020s;contemporary;east-asia;memoir;non-fiction,,kim_a-necessary-lie,A Necessary Lie,A Necessary Lie,Doohyun Kim,kim,9798987029718,,B0CH3XJJ45,https://www.amazon.com/dp/B0CH3XJJ45?tag=redrock07-20,direct-asin,kim_a-necessary-lie.png,257,385,usable,hand-sourced,FOUND/kim_a-necessary-lie.jpg,,5,10/6/2024,9/12/2024,,Kindle Edition,439,2023,,high,byline is not legible on the cover - author supplied by user (amazon.com/dp/B0CH3XJJ45); cover shows a co-author credit that remains illegible,block06_r3c4.png,A Necessary Lie: Escape for Freedom and Love,Doohyun Kim
,,,non-fiction,leadership,biography;history;politics,19th-century,2000s,united-states,19th-century;2000s;biography;history;leadership;non-fiction;politics;united-states,,white_a-lincoln,A. Lincoln,A. Lincoln: A Biography,"Ronald C. White, Jr.",white,9781400064991,1400064996,,https://www.amazon.com/dp/1400064996?tag=redrock07-20,direct,white_a-lincoln.png,332,500,good,search,https://covers.openlibrary.org/b/id/7316596-L.jpg,,5,2/9/2019,2/9/2019,Random House ,Hardcover,816,2009,2009,medium,title appears as a signature; subtitle too small to confirm on the cover,block04_r1c5.png,A. Lincoln,Ronald C. White Jr.
,,,non-fiction,leadership;economics,biography;history;politics,early-modern,2000s,united-states,2000s;biography;early-modern;economics;history;leadership;non-fiction;politics;united-states,,chernow_alexander-hamilton,Alexander Hamilton,Alexander Hamilton,Ron Chernow,chernow,9780143034759,0143034758,,https://www.amazon.com/dp/0143034758?tag=redrock07-20,direct,chernow_alexander-hamilton.png,328,500,good,search,https://covers.openlibrary.org/b/id/8261375-L.jpg,,0,,8/11/2018,Penguin Books,Paperback,818,2005,2004,high,,block01_r2c2.png,Alexander Hamilton,Ron Chernow
,,,fiction,,memoir;nature,early-20th-century,1970s,britain,1970s;britain;early-20th-century;fiction;memoir;nature,,herriot_all-creatures-great-and-small,All Creatures Great and Small,All Creatures Great and Small,James Herriot,herriot,9781250057839,1250057833,,https://www.amazon.com/dp/1250057833?tag=redrock07-20,direct,herriot_all-creatures-great-and-small.png,324,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9781250057839-L.jpg?default=false,,0,,8/11/2018,Griffin,Paperback,442,2014,1970,high,,block01_r1c5.png,All Creatures Great and Small (All Creatures Great and Small #1-2),James Herriot
,,,non-fiction,,true-crime;science;biography,early-20th-century,2020s,united-states,2020s;biography;early-20th-century;non-fiction;science;true-crime;united-states,,dawson_american-sherlock,American Sherlock,"American Sherlock: Murder, Forensics, and the Birth of American CSI",Kate Winkler Dawson,dawson,9780525539551,0525539557,,https://www.amazon.com/dp/0525539557?tag=redrock07-20,direct,dawson_american-sherlock.png,329,499,good,isbn13,https://covers.openlibrary.org/b/isbn/9780525539551-L.jpg?default=false,,4,7/20/2024,7/5/2024,G.P. Putnam's Sons,Hardcover,336,2020,2020,medium,subtitle read at low resolution,block06_r4c2.png,"American Sherlock: Murder, Forensics, and the Birth of American CSI",Kate Winkler Dawson
,,,non-fiction,economics,history;economics,multi-era,2010s,global,2010s;economics;global;history;multi-era;non-fiction,,harreld_an-economic-history-of-the-world-since-1400,An Economic History of the World since 1400,An Economic History of the World since 1400,Donald Harreld,harreld,9781629973128,1629973122,,https://www.amazon.com/dp/1629973122?tag=redrock07-20,direct,harreld_an-economic-history-of-the-world-since-1400.png,351,500,good,user-isbn,https://covers.openlibrary.org/b/isbn/9781629973128-L.jpg,,0,,8/11/2018,The Great Courses,Audible Audio,25,2016,2016,high,Great Courses; lecturer name is illegible on the cover - supplied by user (audible.com/pd/B01K4ZNTFS),block01_r4c3.png,An Economic History of the World since 1400,Donald J. Harreld
,,,non-fiction,leadership,history;war,ancient,2000s,ancient-rome,2000s;ancient;ancient-rome;history;leadership;non-fiction;war,,baker_ancient-rome,Ancient Rome,Ancient Rome: The Rise and Fall of an Empire,Simon Baker,baker,9781846072840,1846072840,,https://www.amazon.com/dp/1846072840?tag=redrock07-20,direct,baker_ancient-rome.png,320,500,good,isbn13,https://covers.openlibrary.org/b/isbn/9781846072840-L.jpg?default=false,,3,,8/11/2018,BBC Physical Audio,Paperback,447,2007,2006,high,,block01_r2c6.png,Ancient Rome: The Rise and Fall of An Empire,Simon Baker
,,,fiction,,politics;philosophy,timeless,1940s,russia,1940s;fiction;philosophy;politics;russia;timeless,,orwell_animal-farm,Animal Farm,Animal Farm,George Orwell,orwell,9780451526342,0451526341,,https://www.amazon.com/dp/0451526341?tag=redrock07-20,direct,orwell_animal-farm.png,330,500,good,search,https://covers.openlibrary.org/b/id/11261770-L.jpg,,0,,8/11/2018,Plume,Paperback,129,2003,1945,high,"Centennial Edition, foreword by Ann Patchett",block04_r3c1.png,Animal Farm,George Orwell
,,,non-fiction,economics,economics,contemporary,2000s,global,2000s;contemporary;economics;global;non-fiction,,sowell_applied-economics,Applied Economics,Applied Economics: Thinking Beyond Stage One,Thomas Sowell,sowell,9780465081431,0465081436,,https://www.amazon.com/dp/0465081436?tag=redrock07-20,direct,sowell_applied-economics.png,317,475,good,isbn13,https://covers.openlibrary.org/b/isbn/9780465081431-L.jpg?default=false,,5,1/29/2021,1/4/2021,Basic Books,Hardcover,256,2003,2003,high,,block05_r3c1.png,Applied Economics: Thinking Beyond Stage One,Thomas Sowell
