final_filename,title_short,author,isbn13,isbn,status,via,width,height,source_url,notes
robichaux_cable-cowboy.png,Cable Cowboy,Mark Robichaux,9780471706373,047170637X,ok,isbn13,323,500,https://covers.openlibrary.org/b/isbn/9780471706373-L.jpg?default=false,
herriot_the-lord-god-made-them-all.png,The Lord God Made Them All,James Herriot,9781250068651,1250068657,ok,search,301,500,https://covers.openlibrary.org/b/id/6629578-L.jpg,
herriot_all-things-wise-and-wonderful.png,All Things Wise and Wonderful,James Herriot,9780312335281,0312335288,ok,isbn13,333,500,https://covers.openlibrary.org/b/isbn/9780312335281-L.jpg?default=false,
herriot_all-things-bright-and-beautiful.png,All Things Bright and Beautiful,James Herriot,9780312330866,0312330863,ok,isbn13,333,500,https://covers.openlibrary.org/b/isbn/9780312330866-L.jpg?default=false,
herriot_all-creatures-great-and-small.png,All Creatures Great and Small,James Herriot,9781250057839,1250057833,ok,isbn13,324,500,https://covers.openlibrary.org/b/isbn/9781250057839-L.jpg?default=false,
weir_the-martian.png,The Martian,Andy Weir,9780804139021,0804139024,ok,isbn13,319,500,https://covers.openlibrary.org/b/isbn/9780804139021-L.jpg?default=false,
steinbeck_travels-with-charley.png,Travels with Charley,John Steinbeck,9780142000700,0142000701,ok,isbn13,309,500,https://covers.openlibrary.org/b/isbn/9780142000700-L.jpg?default=false,
chernow_alexander-hamilton.png,Alexander Hamilton,Ron Chernow,,,ok,search,328,500,https://covers.openlibrary.org/b/id/8261375-L.jpg,
brown_the-boys-in-the-boat.png,The Boys in the Boat,Daniel James Brown,9780670025817,067002581X,ok,isbn13,316,500,https://covers.openlibrary.org/b/isbn/9780670025817-L.jpg?default=false,
mukherjee_the-emperor-of-all-maladies.png,The Emperor of All Maladies,Siddhartha Mukherjee,,,ok,user-isbn,324,500,https://covers.openlibrary.org/b/isbn/9781439170915-L.jpg,
mukherjee_the-gene.png,The Gene,Siddhartha Mukherjee,,,ok,user-isbn,322,500,https://covers.openlibrary.org/b/isbn/9781476733500-L.jpg,
baker_ancient-rome.png,Ancient Rome,Simon Baker,9781846072840,1846072840,ok,isbn13,320,500,https://covers.openlibrary.org/b/isbn/9781846072840-L.jpg?default=false,
mccullough_1776.png,1776,David McCullough,9780743226721,0743226720,ok,isbn13,318,500,https://covers.openlibrary.org/b/isbn/9780743226721-L.jpg?default=false,
mccullough_john-adams.png,John Adams,David McCullough,9780743223133,0743223136,ok,isbn13,329,500,https://covers.openlibrary.org/b/isbn/9780743223133-L.jpg?default=false,
mccullough_brave-companions.png,Brave Companions,David McCullough,,,small,local,102,157,local:covers/mccullough_brave-companions.png,
collins_good-to-great.png,Good to Great,Jim Collins,9780066620992,0066620996,ok,isbn13,330,500,https://covers.openlibrary.org/b/isbn/9780066620992-L.jpg?default=false,
knight_shoe-dog.png,Shoe Dog,Phil Knight,9781501135910,1501135910,ok,isbn13,331,500,https://covers.openlibrary.org/b/isbn/9781501135910-L.jpg?default=false,
rand_atlas-shrugged.png,Atlas Shrugged,Ayn Rand,9780452011878,0452011876,ok,isbn13,326,500,https://covers.openlibrary.org/b/isbn/9780452011878-L.jpg?default=false,
gladwell_outliers.png,Outliers,Malcolm Gladwell,9780316017923,0316017922,ok,ol-search2,332,500,https://covers.openlibrary.org/b/id/10021591-L.jpg,
gladwell_david-and-goliath.png,David and Goliath,Malcolm Gladwell,9780316204361,0316204366,ok,isbn13,349,500,https://covers.openlibrary.org/b/isbn/9780316204361-L.jpg?default=false,
harreld_an-economic-history-of-the-world-since-1400.png,An Economic History of the World since 1400,Donald Harreld,,,ok,user-isbn,351,500,https://covers.openlibrary.org/b/isbn/9781629973128-L.jpg,
collins_the-woman-in-white.png,The Woman in White,Wilkie Collins,,,ok,user-isbn,312,475,https://covers.openlibrary.org/b/isbn/9780141439617-L.jpg,
mccullough_truman.png,Truman,David McCullough,9780671869205,0671869205,ok,isbn13,330,500,https://covers.openlibrary.org/b/isbn/9780671869205-L.jpg?default=false,
weatherford_genghis-khan-and-the-making-of-the-modern-world.png,Genghis Khan and the Making of the Modern World,Jack Weatherford,,,ok,search,317,475,https://covers.openlibrary.org/b/id/390818-L.jpg,
rand_capitalism.png,Capitalism,Ayn Rand,9780451147950,0451147952,ok,isbn13,304,500,https://covers.openlibrary.org/b/isbn/9780451147950-L.jpg?default=false,
kurlansky_salt.png,Salt,Mark Kurlansky,9780142001615,0142001619,ok,isbn13,312,475,https://covers.openlibrary.org/b/isbn/9780142001615-L.jpg?default=false,
harari_21-lessons-for-the-21st-century.png,21 Lessons for the 21st Century,Yuval Noah Harari,9780525512172,0525512179,ok,isbn13,318,500,https://covers.openlibrary.org/b/isbn/9780525512172-L.jpg?default=false,
fey_bossypants.png,Bossypants,Tina Fey,,,ok,search,323,500,https://covers.openlibrary.org/b/id/6717606-L.jpg,
grumet_the-purpose-code.png,The Purpose Code,Jordan Grumet,9781804090855,1804090859,small,local,105,167,local:covers/grumet_the-purpose-code.png,
munger_poor-charlies-almanack.png,Poor Charlie's Almanack,Charles T. Munger,9781578643660,157864366X,ok,ol-search2,484,500,https://covers.openlibrary.org/b/id/8337563-L.jpg,
jones_henry-v.png,Henry V,Dan Jones,9780593652732,0593652738,small,local,105,155,local:covers/jones_henry-v.png,
standage_a-history-of-the-world-in-6-glasses.png,A History of the World in 6 Glasses,Tom Standage,9780802715524,0802715524,ok,isbn13,333,500,https://covers.openlibrary.org/b/isbn/9780802715524-L.jpg?default=false,
kaufman_the-personal-mba.png,The Personal MBA,Josh Kaufman,,,ok,search,327,500,https://covers.openlibrary.org/b/id/6713257-L.jpg,
comer_the-ruthless-elimination-of-hurry.png,The Ruthless Elimination of Hurry,John Mark Comer,9780525653097,0525653090,ok,isbn13,312,500,https://covers.openlibrary.org/b/isbn/9780525653097-L.jpg?default=false,
liu_the-three-body-problem.png,The Three-Body Problem,Cixin Liu,,,ok,user-isbn,331,500,https://covers.openlibrary.org/b/isbn/9780765382030-L.jpg,
hawking_a-brief-history-of-time.png,A Brief History of Time,Stephen Hawking,9780553380163,0553380168,ok,isbn13,328,500,https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg?default=false,
hawking_the-theory-of-everything.png,The Theory of Everything,Stephen W. Hawking,9780641587719,0641587716,ok,ol-search2,365,500,https://covers.openlibrary.org/b/id/12188593-L.jpg,
cheng_see-you-in-the-cosmos.png,See You in the Cosmos,Jack Cheng,9780399186370,0399186379,ok,isbn13,334,500,https://covers.openlibrary.org/b/isbn/9780399186370-L.jpg?default=false,
feynman_surely-youre-joking-mr-feynman.png,"""Surely You're Joking, Mr. Feynman!""",Richard P. Feynman,9780393355628,0393355624,ok,isbn13,332,500,https://covers.openlibrary.org/b/isbn/9780393355628-L.jpg?default=false,
watson_the-double-helix.png,The Double Helix,James D. Watson,9780451037701,0451037707,ok,user-isbn,330,500,https://covers.openlibrary.org/b/isbn/9780743216302-L.jpg,
dalio_principles.png,Principles,Ray Dalio,9781508243243,1508243247,ok,isbn13,428,500,https://covers.openlibrary.org/b/isbn/9781508243243-L.jpg?default=false,
chapman_the-5-love-languages.png,The 5 Love Languages,Gary Chapman,9780802492401,0802492401,ok,user-isbn,324,500,https://covers.openlibrary.org/b/isbn/9780802412706-L.jpg,
tyson_astrophysics-for-people-in-a-hurry.png,Astrophysics for People in a Hurry,Neil deGrasse Tyson,9780393609394,0393609391,ok,isbn13,308,500,https://covers.openlibrary.org/b/isbn/9780393609394-L.jpg?default=false,
graff_the-only-plane-in-the-sky.png,The Only Plane in the Sky,Garrett M. Graff,,,ok,ol-search2,329,499,https://covers.openlibrary.org/b/id/8779094-L.jpg,
brooks_how-to-know-a-person.png,How to Know a Person,David Brooks,9780593230084,059323006X,ok,isbn,329,500,https://covers.openlibrary.org/b/isbn/059323006X-L.jpg?default=false,
goldratt_the-goal.png,The Goal,Eliyahu M. Goldratt,9780884271789,0884271781,ok,isbn13,317,500,https://covers.openlibrary.org/b/isbn/9780884271789-L.jpg?default=false,
gates_source-code.png,Source Code,Bill Gates,9780593801581,059380158X,ok,ol-search2,325,500,https://covers.openlibrary.org/b/id/14851913-L.jpg,
sanderson_the-way-of-kings.png,The Way of Kings,Brandon Sanderson,9780765326355,0765326353,ok,ol-search2,320,500,https://covers.openlibrary.org/b/id/14658316-L.jpg,
