Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25614523,Originals: How Non-Conformists Move the World,Adam M. Grant,"Grant, Adam M.",,0525429565,9780525429562,4,Viking,Hardcover,326,2016,2016,8/25/2018,8/11/2018,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,0062301233,9780062301239,5,Ecco,Hardcover,392,2015,2015,8/28/2018,8/25/2018,,,read,,,,1,0
49234,The Third Chimpanzee: The Evolution and Future of the Human Animal,Jared Diamond,"Diamond, Jared",,0060845503,9780060845506,1,Harper Perennial,Paperback,407,2006,1991,9/8/2018,8/11/2018,,,read,,,,1,0
38743,"All Things Bright and Beautiful (All Creatures Great and Small, #3-4)",James Herriot,"Herriot, James",,0312330863,9780312330866,5,St. Martin's Griffin,Paperback,378,2004,1976,10/1/2018,8/11/2018,,,read,,,,1,0
22609391,The Wright Brothers,David McCullough,"McCullough, David",,,,5,Simon & Schuster,Hardcover,320,2015,2015,10/23/2018,8/11/2018,,,read,,,,1,0
42909,"All Things Wise and Wonderful (All Creatures Great and Small, #5-6)",James Herriot,"Herriot, James",,0312335288,9780312335281,5,St. Martin's Griffin,Paperback,448,2004,1978,10/23/2018,8/11/2018,,,read,,,,1,0
23014868,"The Lord God Made Them All (All Creatures Great and Small, #7)",James Herriot,"Herriot, James",,1250068657,9781250068651,5,Griffin,Paperback,373,2015,1981,11/26/2018,8/11/2018,,,read,,,,1,0
4059448,A. Lincoln,Ronald C. White Jr.,"Jr., Ronald C. White",,1400064996,9781400064991,5,Random House ,Hardcover,816,2009,2009,2/9/2019,2/9/2019,,,read,,,,1,0
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,1501139150,9781501139154,5,Simon & Schuster,Hardcover,600,2017,2017,2/9/2019,8/11/2018,,,read,,,,1,0
40058155,"William Shakespeare: Comedies, Histories and Tragedies",Peter Saccio,"Saccio, Peter",,,,4,The Great Courses,Audible Audio,12,2013,1999,4/22/2019,2/9/2019,,,read,,,,1,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,1451648537,9781451648539,5,Simon & Schuster,Hardcover,630,2011,2011,5/30/2019,5/4/2019,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,0374275637,9780374275631,3,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,9/19/2019,5/30/2019,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,,,5,Avery,Kindle Edition,319,2018,2018,10/2/2019,9/19/2019,,,read,,,,2,0
38315,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,0812975219,9780812975215,5,Random House Trade Paperbacks,Paperback,368,2005,2001,10/9/2019,10/2/2019,,,read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,0399590501,9780399590504,5,Random House,Hardcover,352,2018,2018,10/17/2019,8/11/2018,,,read,,,,1,0
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,0544272994,9780544272996,4,Dey Street Books,Hardcover,303,2014,2014,5/29/2020,6/14/2019,,,read,,,,1,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,0452011876,9780452011878,5,Plume,Paperback,1168,1999,1957,6/13/2020,8/11/2018,,,read,,,,4,0
38606235,Subscribed: Why the Subscription Model Will Be Your Company's Future - and What to Do About It,Tien Tzuo,"Tzuo, Tien",Gabe Weisert,0525536477,9780525536475,4,Portfolio,Kindle Edition,254,2018,2018,6/13/2020,5/29/2020,,,read,,,,1,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,,,3,Random House,Kindle Edition,710,2009,1962,10/2/2020,8/11/2018,,,read,,,,1,0
25953369,Hidden Figures,Margot Lee Shetterly,"Shetterly, Margot Lee",,,,5,William Morrow Paperbacks,Paperback,349,2016,2016,11/25/2020,10/2/2020,,,read,,,,1,0
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,,,5,Signet Book,Mass Market Paperback,704,1996,1943,1/4/2021,11/25/2020,,,read,,,,1,0
3041,Applied Economics: Thinking Beyond Stage One,Thomas Sowell,"Sowell, Thomas",,0465081436,9780465081431,5,Basic Books,Hardcover,256,2003,2003,1/29/2021,1/4/2021,,,read,,,,1,0
22529127,Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,"McChrystal, Stanley","Chris Fussell, Tantum Collins, David        Silverman",1591847486,9781591847489,4,Portfolio,Hardcover,304,2015,2015,3/6/2021,1/29/2021,,,read,,,,1,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,0735224900,9780735224902,5,Penguin Press,Kindle Edition,352,2018,2018,11/5/2021,3/6/2021,,,read,,,,1,0
8171378,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"Wilkerson, Isabel",,0679444327,9780679444329,5,Random House,Hardcover,640,2010,2010,12/12/2021,11/5/2021,,,read,"An important read. It’s painful to hear these stories of racial oppression, but the lesson these histories teach me are incredibly valuable. I liked the way the author used the personal biographies of several to teach the reader of the current events:affairs during their lives. I’m more resolved to be kind, understanding and helpful to those I have the opportunity to interact with. These stories need to be shared more broadly so we can learn to be a better society together. ",,,1,0
7024307,Seven Miracles That Saved America: Why They Matter and Why We Should Have Hope,Chris Stewart,"Stewart, Chris",Ted Stewart,1606411446,9781606411445,4,Shadow Mountain,Hardcover,356,2009,2009,12/12/2021,11/5/2021,,,read,,,,1,0
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,0307719219,9780307719218,5,Crown Currency,Hardcover,529,2012,2012,12/12/2021,11/5/2021,,,read,,,,1,0
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,,,5,Ballantine Books,Mass Market Paperback,527,1973,1954,4/15/2022,5/11/2022,,,read,,,,1,0
